SiteID,VisitID,Year,Species,Abundance,Sample_area,Source,n_obs,Presence,geometry,watershed_id,area,frac_forest,frac_urban,frac_agri,mean_temp,mean_ppt,mean_dem,rate,n_branch,p_branch,n_dam
st00021,st00021-2003,2003,ACANTHOGOBIUS_LACTIPES,12,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00021,st00021-2003,2003,COTTUS_HANGIONGENSIS,2,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00021,st00021-2003,2003,GYMNOGOBIUS_BREUNIGII,10,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00021,st00021-2003,2003,GYMNOGOBIUS_UROTAENIA,1,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00021,st00021-2003,2003,LETHENTERON_SPP,114,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00021,st00021-2003,2003,TRIBOLODON_SPP,2,NA,hfish_HSGK,2,1,"c(397838.953884668, 275351.452065647)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00024,st00024-2012,2012,COTTUS_HANGIONGENSIS,28,438.2,prtwsd,6,1,"c(398180.201513415, 275147.675462121)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00024,st00024-2012,2012,GYMNOGOBIUS_OPPERIENS,67,438.2,prtwsd,6,1,"c(398180.201513415, 275147.675462121)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00024,st00024-2012,2012,LETHENTERON_SPP,5,438.2,prtwsd,6,1,"c(398180.201513415, 275147.675462121)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
st00024,st00024-2012,2012,MISGURNUS_ANGUILLICAUDATUS,1,438.2,prtwsd,6,1,"c(398180.201513415, 275147.675462121)",1197,199.78711067985392,0.9891568816527343,0.003053250021571668,0.0025295676632273215,7.624327229246433,1243.5410287381467,236.16747673935072,0.38417749290677833,56,0.3189894580889049,0
